tag	id	kind	pos	dir	built	died	life	dsq_opp	dsq_own	shots	core_shots	first_core	funded_r
midgard_s3_A	29	launcher	(24, 24)		11		249	12.5	924.5	0	0		196
midgard_s3_A	34	launcher	(24, 26)		14		246	6.5	1014.5	0	0		196
midgard_s3_A	106	launcher	(8, 6)		41	42	1	762.5	42.5	0	0		1
midgard_s3_A	116	launcher	(14, 9)		44	45	1	462.5	174.5	0	0		1
midgard_s3_A	124	launcher	(17, 15)		47	48	1	222.5	366.5	0	0		1
midgard_s3_A	133	launcher	(21, 21)		51	52	1	60.5	684.5	0	0		1
midgard_s3_A	148	gunner	(20, 18)	SE	57		203	114.5	546.5	89	0		155
midgard_s3_B	7	launcher	(26, 24)		1	2	1	1014.5	6.5	0	0		0
midgard_s3_B	11	launcher	(21, 21)		3	4	1	684.5	60.5	0	0		0
midgard_s3_B	15	launcher	(17, 17)		5	6	1	420.5	180.5	0	0		0
midgard_s3_B	24	launcher	(13, 13)		7	8	1	220.5	364.5	0	0		0
midgard_s3_B	27	launcher	(9, 9)		9	10	1	84.5	612.5	0	0		0
midgard_s3_B	30	launcher	(5, 5)		11		162	12.5	924.5	0	0		155
midgard_s3_B	128	sentinel	(6, 6)	NW	42	50	8	24.5	840.5	4	4	43	7
midgard_s3_B	158	sentinel	(6, 6)	NW	51	58	7	24.5	840.5	3	3	52	7
midgard_s3_B	193	gunner	(7, 6)	N	60		113	32.5	800.5	30	0		108
nordkap_s1_A	7	launcher	(9, 9)		1	2	1	90.5	6.5	0	0		0
nordkap_s1_A	11	launcher	(10, 15)		3	4	1	12.5	72.5	0	0		0
nordkap_s1_A	32	sentinel	(14, 8)	SW	10		594	130.5	22.5	13	0		529
nordkap_s1_A	91	sentinel	(6, 5)	E	64		540	194.5	14.5	25	0		475
nordkap_s1_A	344	launcher	(11, 9)		257	258	1	92.5	8.5	0	0		1
nordkap_s1_A	429	launcher	(11, 9)		298	299	1	92.5	8.5	0	0		1
nordkap_s1_A	524	launcher	(6, 9)		347	348	1	102.5	18.5	0	0		1
nordkap_s1_A	608	launcher	(11, 9)		395	396	1	92.5	8.5	0	0		1
nordkap_s1_A	706	launcher	(6, 9)		451	452	1	102.5	18.5	0	0		1
nordkap_s1_A	766	launcher	(12, 7)		488	489	1	138.5	6.5	0	0		1
nordkap_s1_A	843	launcher	(11, 9)		526	527	1	92.5	8.5	0	0		1
nordkap_s1_B	7	launcher	(9, 16)		1	2	1	90.5	6.5	0	0		0
nordkap_s1_B	11	launcher	(10, 10)		3	4	1	12.5	72.5	0	0		0
nordkap_s1_B	58	gunner	(12, 13)	NW	20	130	110	48.5	36.5	20	0		110
nordkap_s1_B	111	gunner	(12, 17)	SW	56		944	116.5	8.5	12	0		928
nordkap_s1_B	137	sentinel	(10, 12)	S	104		896	30.5	42.5	3	0		880
nordkap_s1_B	159	sentinel	(10, 14)	NE	136		864	56.5	20.5	3	0		848
nordkap_s1_B	168	sentinel	(9, 15)	NE	152		848	72.5	12.5	1	0		832
nordkap_s1_B	175	sentinel	(8, 12)	E	164		836	32.5	44.5	2	0		820
nordkap_s1_B	184	gunner	(12, 11)	S	177		823	26.5	62.5	705	0		808
nordkap_s1_B	325	launcher	(11, 17)		301	302	1	112.5	4.5	0	0		1
nordkap_s1_B	349	launcher	(7, 12)		321		679	36.5	48.5	0	0		665
nordkap_s1_B	358	launcher	(3, 8)		328		672	44.5	152.5	0	0		658
nordkap_s1_B	460	launcher	(5, 0)		401		599	62.5	362.5	0	0		596
nordkap_s1_B	474	launcher	(15, 0)		412		588	72.5	372.5	0	0		585
nordkap_s1_B	490	launcher	(16, 8)		424		576	44.5	152.5	0	0		573
nordkap_s1_B	561	launcher	(13, 4)		469		531	18.5	222.5	0	0		528
nordkap_s1_B	590	launcher	(14, 12)		488		512	50.5	62.5	0	0		509
nordkap_s1_B	602	launcher	(11, 16)		496		504	92.5	8.5	0	0		501
nordkap_s1_B	616	launcher	(16, 16)		506		494	132.5	48.5	0	0		491
nordkap_s1_B	639	launcher	(14, 20)		523		477	202.5	22.5	0	0		474
nordkap_s1_B	778	launcher	(11, 23)		604		396	274.5	22.5	0	0		396
nordkap_s1_B	786	launcher	(6, 23)		610		390	284.5	32.5	0	0		390
nordkap_s1_B	800	launcher	(1, 23)		620		380	344.5	92.5	0	0		380
nordkap_s1_B	824	launcher	(3, 17)		638		362	152.5	44.5	0	0		362
nordkap_s1_B	948	launcher	(1, 1)		728		272	102.5	378.5	0	0		272
nordkap_s1_B	993	launcher	(19, 2)		763		237	110.5	362.5	0	0		237
nordkap_s2_A	7	launcher	(9, 9)		1	2	1	90.5	6.5	0	0		0
nordkap_s2_A	11	launcher	(10, 15)		3	4	1	12.5	72.5	0	0		0
nordkap_s2_A	17	launcher	(11, 20)		6		591	4.5	184.5	0	0		572
nordkap_s2_A	33	sentinel	(13, 8)	W	12		585	122.5	14.5	16	0		571
nordkap_s2_A	160	gunner	(7, 14)	S	55	305	250	26.5	62.5	22	0		250
nordkap_s2_A	266	sentinel	(13, 9)	NW	88		509	102.5	18.5	4	0		509
nordkap_s2_A	300	launcher	(11, 9)		106	107	1	92.5	8.5	0	0		1
nordkap_s2_A	305	launcher	(11, 16)		109	112	3	8.5	92.5	0	0		3
nordkap_s2_A	316	sentinel	(7, 12)	NE	115	494	379	48.5	36.5	3	0		379
nordkap_s2_A	349	gunner	(5, 13)	N	132		465	50.5	62.5	7	0		465
nordkap_s2_A	380	sentinel	(5, 14)	N	148		449	40.5	76.5	1	0		449
nordkap_s2_A	452	sentinel	(5, 15)	N	180		417	32.5	92.5	1	0		417
nordkap_s2_A	480	launcher	(6, 19)		194	195	1	12.5	168.5	0	0		1
nordkap_s2_A	505	sentinel	(7, 21)	NE	204	237	33	12.5	216.5	17	17	205	33
nordkap_s2_A	556	launcher	(3, 1)		235		362	348.5	72.5	0	0		362
nordkap_s2_A	578	launcher	(13, 0)		251		346	354.5	54.5	0	0		346
nordkap_s2_A	606	launcher	(8, 14)		267	268	1	22.5	58.5	0	0		1
nordkap_s2_A	649	launcher	(12, 4)		289		308	216.5	12.5	0	0		308
nordkap_s2_A	660	launcher	(13, 11)		296	486	190	68.5	32.5	0	0		190
nordkap_s2_A	670	launcher	(18, 8)		303		294	182.5	74.5	0	0		294
nordkap_s2_A	693	launcher	(8, 14)		319	320	1	22.5	58.5	0	0		1
nordkap_s2_A	731	launcher	(8, 14)		344	345	1	22.5	58.5	0	0		1
nordkap_s2_A	748	gunner	(11, 10)	S	355		242	74.5	14.5	138	0		242
nordkap_s2_A	763	sentinel	(10, 16)	S	365	375	10	6.5	90.5	5	5	366	10
nordkap_s2_A	790	launcher	(12, 10)		385	386	1	78.5	18.5	0	0		1
nordkap_s2_A	826	launcher	(11, 9)		406	407	1	92.5	8.5	0	0		1
nordkap_s2_A	831	launcher	(11, 16)		409	411	2	8.5	92.5	0	0		2
nordkap_s2_A	868	launcher	(11, 9)		431	432	1	92.5	8.5	0	0		1
nordkap_s2_A	874	launcher	(11, 16)		434	436	2	8.5	92.5	0	0		2
nordkap_s2_A	942	launcher	(7, 14)		467	468	1	26.5	62.5	0	0		1
nordkap_s2_A	993	launcher	(11, 9)		487	488	1	92.5	8.5	0	0		1
nordkap_s2_A	999	launcher	(12, 15)		489	490	1	18.5	78.5	0	0		1
nordkap_s2_A	1037	gunner	(7, 14)	S	506	509	3	26.5	62.5	2	0		3
nordkap_s2_B	7	launcher	(9, 16)		1	2	1	90.5	6.5	0	0		0
nordkap_s2_B	11	launcher	(10, 10)		3	4	1	12.5	72.5	0	0		0
nordkap_s2_B	48	gunner	(7, 13)	NE	16	92	76	48.5	36.5	29	0		65
nordkap_s2_B	112	gunner	(11, 15)	S	70		256	74.5	14.5	119	0		48
nordkap_s3_A	7	launcher	(9, 9)		1	2	1	90.5	6.5	0	0		0
nordkap_s3_A	11	launcher	(10, 15)		3	4	1	12.5	72.5	0	0		0
nordkap_s3_A	19	launcher	(10, 21)		6		199	6.5	210.5	0	0		101
nordkap_s3_A	42	gunner	(11, 11)	S	15	168	153	58.5	22.5	38	0		97
nordkap_s3_A	75	sentinel	(10, 11)	W	35		170	56.5	20.5	10	0		77
nordkap_s3_B	7	launcher	(9, 16)		1	2	1	90.5	6.5	0	0		0
nordkap_s3_B	11	launcher	(10, 10)		3	4	1	12.5	72.5	0	0		0
nordkap_s3_B	44	sentinel	(7, 18)	NE	12		215	138.5	6.5	8	0		215
nordkap_s3_B	72	launcher	(8, 8)		28	56	28	4.5	112.5	0	0		28
nordkap_s3_B	85	sentinel	(8, 12)	SE	34	123	89	32.5	44.5	6	0		89
nordkap_s3_B	304	launcher	(11, 20)		111	112	1	184.5	4.5	0	0		1
nordkap_s3_B	329	launcher	(12, 11)		117	118	1	26.5	62.5	0	0		1
nordkap_s3_B	404	sentinel	(12, 9)	NW	135		92	12.5	96.5	46	46	136	92
nordkap_s3_B	469	gunner	(11, 16)	SE	153		74	92.5	8.5	3	0		74
nordkap_s3_B	545	launcher	(13, 20)		176		51	194.5	14.5	0	0		51
